1366	libgav1-1	0.19.0-3+b1
184	libgbm1	25.0.7-2+deb13u1
521	libgc1	1:8.2.8-1
148	libgcc-s1	14.2.0-19
1522	libgcrypt20	1.11.0-7+deb13u1
127	libgdbm-compat4t64	1.24-2
194	libgdbm6t64	1.24-2
1046	libgdk-pixbuf-2.0-0	2.42.12+dfsg-4+deb13u1
2552	libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1
1404	libgit2-1.9	1.9.0+ds-2+deb13u1
1085	libgl1	1.7.0-1+b2
307	libgl1-mesa-dri	25.0.7-2+deb13u1
230	libgles2	1.7.0-1+b2
4987	libglib2.0-0t64	2.84.4-3~deb13u5
1565	libglvnd0	1.7.0-1+b2
596	libglx-mesa0	25.0.7-2+deb13u1
219	libglx0	1.7.0-1+b2
846	libgmp10	2:6.3.0+dfsg-3
3623	libgnutls30t64	3.8.9-3+deb13u4
236	libgpg-error0	1.51-4
85	libgpm2	1.20.7-11+b2
223	libgraphite2-3	1.3.14-2+deb13u1
487	libgssapi-krb5-2	1.21.3-5+deb13u1
785	libgstreamer-gl1.0-0	1.26.2-1+deb13u2
3981	libgstreamer-plugins-base1.0-0	1.26.2-1+deb13u2
5455	libgstreamer1.0-0	1.26.2-2
11248	libgtk-3-0t64	3.24.49-3
30916	libgtk-3-common	3.24.49-3
84	libgudev-1.0-0	238-6
113	libharfbuzz-icu0	10.2.0-1+deb13u1
1395	libharfbuzz-subset0	10.2.0-1+deb13u1
1350	libharfbuzz0b	10.2.0-1+deb13u1
89	libhidapi-hidraw0	0.14.0-1+b2
507	libhogweed6t64	3.10.1-1
90	libhttp-parser2.9	2.9.4-6+b2
860	libhunspell-1.7-0	1.7.2+really1.7.2-10+b4
4135	libhwy1t64	1.2.0-2+b2
121	libhyphen0	2.8.8-7+b2
170	libice6	2:1.1.1-1
37547	libicu76	76.1-4
442	libidn2-0	2.3.8-2
98	libiec61883-0	1.2.0-7
30126	libjavascriptcoregtk-4.1-0	2.52.6-1~deb13u1
97	libjbig0	2.1-6.1+b2
478	libjpeg62-turbo	1:2.1.5-4
439	libjq1	1.7.1-6+deb13u3
3116	libjxl0.11	0.11.2-0.1~deb13u2
278	libk5crypto3	1.21.3-5+deb13u1
85	libkeyutils1	1.6.3-6
1166	libkrb5-3	1.21.3-5+deb13u1
154	libkrb5support0	1.21.3-5+deb13u1
124	liblastlog2-2	2.41.5-0+deb13u1
501	liblcms2-2	2.16-2+deb13u2
576	libldap2	2.6.10+dfsg-1
552	liblerc4	4.0.0+ds-5
120416	libllvm19	1:19.1.7-3+b1
277	liblowdown2	2.0.2-2
217	liblz4-1	1.10.0-4
435	liblzma5	5.8.1-1+deb13u1
10154	libmagic-mgc	1:5.46-5
260	libmagic1t64	1:5.46-5
345	libmanette-0.2-0	0.2.12-1
808	libmbedcrypto16	3.6.6-0.1~deb13u1
468	libmbedtls21	3.6.6-0.1~deb13u1
268	libmbedx509-7	3.6.6-0.1~deb13u1
102	libmd0	1.1.0-2+b1
118	libminizip1t64	1:1.3.dfsg+really1.3.1-1+b1
653	libmount1	2.41.5-0+deb13u1
572	libmp3lame0	3.100-6+b3
349	libmpg123-0t64	1.32.10-1+deb13u1
499	libncurses6	6.5+20250216-2
568	libncursesw6	6.5+20250216-2
543	libnettle8t64	3.10.1-1
229	libnghttp2-14	1.64.0-1.1+deb13u1
233	libnghttp3-9	1.8.0-1
363	libngtcp2-16	1.11.0-1+deb13u1
104	libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1
425	libnspr4	2:4.36-1
4588	libnss3	2:3.110-1+deb13u4
90	libogg0	1.3.5-3+b2
669	libonig5	6.9.9-1+b1
216	libopencore-amrnb0	0.1.6-1+b2
153	libopencore-amrwb0	0.1.6-1+b2
987	libopenh264-8	2.6.0+dfsg-2
528	libopenjp2-7	2.5.3-2.1~deb13u2
3422	libopus0	1.5.2-2
887	liborc-0.4-0t64	1:0.4.41-1
2062	libp11-kit0	0.25.5-3
3055	libpam-modules	1.7.0-5
446	libpam-modules-bin	1.7.0-5
1028	libpam-runtime	1.7.0-5
741	libpam-systemd	257.13-1~deb13u1
295	libpam0g	1.7.0-5
558	libpango-1.0-0	1.56.3-1
107	libpangocairo-1.0-0	1.56.3-1
174	libpangoft2-1.0-0	1.56.3-1
722	libpcre2-8-0	10.46-1~deb13u1
31049	libperl5.40	5.40.1-6+deb13u1
667	libpixman-1-0	0.44.0-3
477	libpng16-16t64	1.6.48-1+deb13u5
229	libproc2-0	2:4.0.4-9
165	libproxy1v5	0.5.9-1
156	libpsl5t64	0.21.2-1.1+b1
1109	libpulse0	17.0+dfsg1-2+b1
28	libpython3-stdlib	3.13.5-1
5468	libpython3.13-minimal	3.13.5-2+deb13u5
10511	libpython3.13-stdlib	3.13.5-2+deb13u5
2206	librav1e0.7	0.7.1-9+b2
102	libraw1394-11	2.1.2-2+b2
557	libreadline8t64	8.2-6
5596	librsvg2-2	2.60.0+dfsg-1
432	librsvg2-common	2.60.0+dfsg-1
156	librtmp1	2.4+20151223.gitfa8646d.1-2+b5
180	libsasl2-2	2.1.28+dfsg1-9
106	libsasl2-modules-db	2.1.28+dfsg1-9
217	libseccomp2	2.6.0-2
490	libsecret-1-0	0.21.7-1
269	libsecret-common	0.21.7-1
289	libselinux1	3.8.1-1
21	libsemanage-common	3.8.1-1
354	libsemanage2	3.8.1-1
37	libsensors-config	1:3.6.2-2
96	libsensors5	1:3.6.2-2
863	libsepol2	3.8.1-1
183	libsharpyuv0	1.5.0-0.1
165	libshout3	2.4.6-1+b3
2559	libslang2	2.3.3-5+b2
102	libsm6	2:1.2.6-1
457	libsmartcols1	2.41.5-0+deb13u1
615	libsndfile1	1.2.2-2+deb13u1
323	libsodium23	1.0.18-1+deb13u1
808	libsoup-3.0-0	3.6.5-3
480	libsoup-3.0-common	3.6.5-3
149	libspeex1	1.2.1-3
1854	libsqlite3-0	3.46.1-7+deb13u1
473	libssh2-1t64	1.11.1-1+deb13u2
8019	libssl3t64	3.5.7-1~deb13u2
3022	libstdc++6	14.2.0-19
4287	libsvtav1enc2	2.3.0+dfsg-1
6946	libsystemd-shared	257.13-1~deb13u1
1276	libsystemd0	257.13-1~deb13u1
1351	libtag2	2.0.2-2
167	libtasn1-6	4.20.0-2+deb13u1
98	libtext-iconv-perl	1.7-8+b4
618	libthai-data	0.1.29-2
119	libthai0	0.1.29-2+b1
285	libtheora0	1.2.0~alpha1+dfsg-6
157	libtheoradec1	1.2.0~alpha1+dfsg-6
220	libtheoraenc1	1.2.0~alpha1+dfsg-6
754	libtiff6	4.7.0-3+deb13u3
673	libtinfo6	6.5+20250216-2
151	libtwolame0	0.4.0-2+b2
405	libudev1	257.13-1~deb13u1
2128	libunistring5	1.3-2
352	libunwind8	1.8.1-0.1
126	libuuid1	2.41.5-0+deb13u1
481	libv4l-0t64	1.30.1-1
442	libv4lconvert0t64	1.30.1-1
465	libvisual-0.4-0	0.4.2-2+b2
220	libvorbis0a	1.3.7-3
726	libvorbisenc2	1.3.7-3
2857	libvpx9	1.15.0-2.1+deb13u1
611	libvulkan1	1.4.309.0-1
223	libwavpack1	5.8.1-1
86	libwayland-client0	1.23.1-3
95	libwayland-cursor0	1.23.1-3
82	libwayland-egl1	1.23.1-3
152	libwayland-server0	1.23.1-3
97617	libwebkit2gtk-4.1-0	2.52.6-1~deb13u1
503	libwebp7	1.5.0-0.1
183	libwebpdemux2	1.5.0-0.1
183	libwebpmux3	1.5.0-0.1
224	libwww-curl-perl	4.17-12
1689	libx11-6	2:1.8.12-1
1576	libx11-data	2:1.8.12-1
358	libx11-xcb1	2:1.8.12-1
94	libxau6	1:1.0.11-1
545	libxaw7	2:1.0.16-1
181	libxcb-dri3-0	1.17.0-2+b1
265	libxcb-glx0	1.17.0-2+b1
180	libxcb-present0	1.17.0-2+b1
193	libxcb-randr0	1.17.0-2+b1
189	libxcb-render0	1.17.0-2+b1
180	libxcb-shape0	1.17.0-2+b1
179	libxcb-shm0	1.17.0-2+b1
182	libxcb-sync1	1.17.0-2+b1
184	libxcb-xfixes0	1.17.0-2+b1
264	libxcb-xkb1	1.17.0-2+b1
329	libxcb1	1.17.0-2+b1
92	libxcomposite1	1:0.4.6-1
101	libxcursor1	1:1.2.3-1
91	libxdamage1	1:1.1.6-1+b2
99	libxdmcp6	1:1.1.5-1
181	libxext6	2:1.3.4-1+b3
95	libxfixes3	1:6.0.0-2+b4
263	libxfont2	1:2.0.6-1+deb13u1
159	libxft2	2.3.6-1+b4
135	libxi6	2:1.8.2-1
94	libxinerama1	2:1.1.4-3+b4
85	libxkbcommon-x11-0	1.7.0-2
345	libxkbcommon0	1.7.0-2
223	libxkbfile1	1:1.1.0-1+b4
1891	libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u3
163	libxmu6	2:1.1.3-3+b4
97	libxmuu1	2:1.1.3-3+b4
94	libxnvctrl0	535.171.04-1+b2
105	libxpm4	1:3.5.17-1+deb13u1
105	libxrandr2	2:1.5.4-1+b3
92	libxrender1	1:0.9.12-1
88	libxshmfence1	1.3.3-1
590	libxslt1.1	1.1.35-1.2+deb13u3
529	libxt6t64	1:1.2.1-1.2+b2
99	libxtst6	2:1.2.5-1
96	libxv1	2:1.0.11-1.1+b3
92	libxxf86dga1	2:1.1.5-1+b3
92	libxxf86vm1	1:1.1.4-1+b4
88	libxxhash0	0.8.3-2
596	libyuv0	0.0.1904.20250204-1
26286	libz3-4	4.13.3-1
748	libzstd1	1.5.7+dfsg-1
419	login	1:4.16.0-2+really2.41.5-0+deb13u1
214	login.defs	1:4.17.4-2
320	mawk	1.3.4.20250131-1
98	media-types	13.0.0
34238	mesa-libgallium	25.0.7-2+deb13u1
2151	mesa-utils	9.0.0-2+b2
2064	mesa-utils-bin	9.0.0-2+b2
657	mount	2.41.5-0+deb13u1
389	ncurses-base	6.5+20250216-2
917	ncurses-bin	6.5+20250216-2
4372	ncurses-term	6.5+20250216-2
35	netbase	6.5
11209	nix-bin	2.26.3+dfsg-1
2554	openssl	3.5.7-1~deb13u2
416	openssl-provider-legacy	3.5.7-1~deb13u2
5317	passwd	1:4.17.4-2
841	perl	5.40.1-6+deb13u1
